id_case;typologie_proposee;batiment;statut;sre_m2;volume_chauffe_m3;enveloppe_proxy_sdep_m2;niveau_qualite;nature_cas;remarque;source_url
C01;maison_individuelle;Maison individuelle de référence, Berne;référence technique;180;360;380;faible;reference_technique;Proxy enveloppe = 110 toit + 120 murs + 30 fenêtres + 90 sol sur locaux non chauffés + 30 murs contre terrain.;https://pubdb.bfe.admin.ch/fr/publication/download/218
C02;residentiel_collectif;Immeuble collectif (cas Aramis);référence technique;531;;;faible;reference_technique;"Immeuble collectif, 4 étages, sans sous-sol enterré; données incomplètes pour enveloppe et volume.";https://www.aramis.admin.ch/?DocumentID=62191
C03;residentiel_collectif;PLQ Châtelaine 29749;projet agrégé;15500;;17000;faible;ensemble_agrege;"Ensemble collectif; Ath/surface enveloppe donnée pour l'ensemble du PLQ.";https://ge.ch/sitg/RDPPF/RDPPF-AMENAGEMENT/PLQ/29749CET.pdf
C04;activites;Maison du terroir / cave viticole, Genève;réel/projet documenté;599;2228;;moyen;reel;"Total simple de 240 m² / 840 m³ (chauffé) + 359 m² / 1388 m³ (rafraîchi et chauffé); cas partiel/process.";https://ge.ch/grandconseil/data/texte/PL10113.pdf
C05;activites;Maison internationale des associations, Genève;réel existant rénové;4601.5;;;moyen;reel;"Usage administratif/associatif; données enveloppe et volume non synthétiques dans la source consultée.";https://ge.ch/grandconseil/data/texte/PL10532.pdf
C06;equipement_collectif;École romande de pharmacie, pavillon, Genève;réel/projet très documenté;2196.8;5228.3;2502;eleve;reel;Très bon cas compact avec enveloppe, SRE, volume chauffé et volume SIA 416.;https://ge.ch/grandconseil/data/texte/PL08951.pdf
C07;equipement_collectif;Hôpital des enfants, bâtiment haut, Genève;réel/projet documenté;4564;11000;3693;eleve;reel;Cas de bâtiment de santé / équipement collectif.;https://ge.ch/grandconseil/data/texte/PL08709A.pdf
C08;equipement_collectif;Collège Sismondi, Genève;réel/projet très documenté;23151;55561;16530;eleve;reel;Grand bâtiment public avec enveloppe, SRE, volume chauffé net et volume SIA 416.;https://ge.ch/grandconseil/data/texte/PL09015.pdf
C09;equipement_collectif;PL 9038, Genève;réel/projet très documenté;23322;55975;15639;eleve;reel;Autre grand cas public avec enveloppe et volume chauffé net.;https://ge.ch/grandconseil/data/texte/PL09038.pdf
C10;mixte;Avenue de Bel-Air 4, Chêne-Bourg;projet mixte;13979;;;moyen;projet;"Habitat collectif + administration + commerce; facteur de forme 1.1 indiqué dans la source.";https://ge.ch/sitg/RDPPF/RDPPF-AMENAGEMENT/PLQ/30233CET.pdf
C11;residentiel_collectif;Zug multifamily house (IEA Annex 50);réel rénové;442;;;moyen;reel;"Avant rénovation : 5 appartements et 442 m² de surface chauffée; après rénovation 803 m². Référence initiale conservée ici.";https://www.iea-ebc.org/Data/publications/EBC_Annex_50_Documented_CaseStudies.pdf
C12;residentiel_collectif;Zurich multifamily house (IEA Annex 50);réel rénové;458;;;moyen;reel;"Avant rénovation : 5 appartements et 458 m² de surface chauffée; après rénovation 657 m². Données enveloppe/volume absentes.";https://www.iea-ebc.org/Data/publications/EBC_Annex_50_Documented_CaseStudies.pdf
C13;equipement_collectif;Krummbach/Geuensee school building (IEA Annex 50);réel rénové;568;;;moyen;reel;"Avant rénovation : 568 m² chauffés; après rénovation 576 m². Bâtiment école avec 3 classes et 1 appartement.";https://www.iea-ebc.org/Data/publications/EBC_Annex_50_Documented_CaseStudies.pdf
C14;residentiel_collectif;Roosendaal apartment complex, Netherlands (IEA Annex 50);réel;16080;;;moyen;reel;"134 appartements; surface chauffée totale 16 080 m². Bon grand cas collectif, volume/enveloppe non fournis.";https://www.iea-ebc.org/Data/publications/EBC_Annex_50_Documented_CaseStudies.pdf
C15;residentiel_collectif;Ensemble résidentiel Italie (IEA Annex 75);ensemble agrégé;58606;138250;50753;moyen;ensemble_agrege;"54 bâtiments; enveloppe proxy issue de la surface de façade (vitrages inclus). Toitures inclinées 15 241 m² également disponibles.";https://iea-ebc.org/Data/publications/Annex75_C2_Report_CaseStudies_20230707.pdf
C16;residentiel_collectif;Picoto social housing, Braga, Portugal (IEA Annex 75);ensemble agrégé;1767;;;moyen;ensemble_agrege;7 bâtiments, 50 logements, surface chauffée totale 1 767 m².;https://iea-ebc.org/Data/publications/Annex75_C2_Report_CaseStudies_20230707.pdf
C17;residentiel_collectif;Lucerne type 1 residential block (IEA Annex 75);typologie documentée;2122;;2166;moyen;reference_technique;"Façade 1 175 m² + toiture plate 534 m² + plafond sous-sol 341 m² + plancher sur sol 116 m²; 4 niveaux.";https://iea-ebc.org/Data/publications/Annex75_C2_Report_CaseStudies_20230707.pdf
C18;residentiel_collectif;Nordic apartment case, Stockholm climate (Danish study);cas réel/documenté;2527;;2560;moyen;reel;"Enveloppe proxy = 783 murs extérieurs + 252 murs enterrés + 650 toiture + 650 dalle + 225 fenêtres; 3 niveaux + sous-sol.";https://vbn.aau.dk/ws/portalfiles/portal/233817755/paper_207.pdf
